epoch,pwPE_xprob,pwPE_xvol,N400_average,P600_average
2,-0.048877689,-0.010475091,-3.0327458638343027e-06,2.0405493006154955e-06
5,-0.094323324,-0.016499062,8.31929045065347e-07,1.1809562681644618e-06
8,-0.105207286,-0.020332928,-1.0003634440983284e-05,6.5527410216575335e-06
11,-0.105823543,-0.022666359,-3.4516586683355304e-06,3.922216771325026e-06
14,-0.103227312,-0.023938201,-7.280857107116821e-06,1.1569057866819984e-05
17,-0.099649105,-0.024474217,-8.193362534756043e-06,5.75628478124951e-07
20,-0.095852744,-0.024515759,1.4366685871918265e-06,-1.783726769512823e-05
23,-0.09211308,-0.024235536,-1.0078478309395257e-05,3.733108246785165e-06
26,-0.088529107,-0.023753445,-9.050142470844934e-06,-1.2326246982701922e-06
29,-0.085132835,-0.023150951,-2.403915594651352e-06,-9.605847236377123e-06
32,-0.081929737,-0.022482563,-1.2852435574221878e-05,-2.546949100081873e-06
35,-0.078914605,-0.021784294,-8.942477097901738e-06,8.105628744770438e-06
41,-0.073409175,-0.020383599,-8.643779266290448e-06,1.1567377121537003e-05
44,-0.070896953,-0.019705598,-5.870290494232742e-06,3.001975261048865e-07
47,-0.068530586,-0.019051224,-2.103767917354035e-06,1.460122607670975e-06
50,-0.066299823,-0.018423554,-1.4870205432391924e-06,4.6720488012321e-06
53,-0.064195042,-0.017823997,-1.7523156094506964e-05,-3.4709293209482734e-06
56,-0.062207274,-0.017252866,-3.523082337712367e-06,-1.2777783110053993e-06
59,-0.060328199,-0.016709768,-3.85137500855997e-07,4.2799471113897705e-06
62,-0.05855012,-0.016193866,-7.1445313369717654e-06,1.983413879979486e-06
68,-0.055269078,-0.015239092,-1.061080351127463e-05,-2.462138969526115e-06
71,-0.053753527,-0.014797656,-5.966736472085345e-06,2.7655647068055126e-06
74,1.143396527,0.127790906,-1.6330852056276552e-05,1.2144381262990765e-05
77,-0.131688886,-0.030054316,-8.99972753511586e-06,4.799612116727605e-06
80,-0.112874852,-0.0294602,2.623652950134812e-06,-1.458192257135532e-05
86,-0.090828663,-0.027530121,-4.401451686878647e-06,-3.074332984881383e-06
89,-0.08376015,-0.026410357,-3.8040308699847e-06,2.032553936529969e-06
95,-0.073566997,-0.02415802,-5.019911462135478e-06,4.856809870567895e-06
98,-0.069715219,-0.023083685,-2.4881357727806947e-06,-2.659534813218437e-06
101,0.944431347,0.137296479,-2.127947480513332e-06,5.375829273454374e-06
104,-0.13449374,-0.04314281,-1.8385641986513948e-06,2.5358117896232877e-06
107,-0.116370065,-0.041269395,6.086788045831938e-06,-1.1383614504543609e-05
110,-0.103836538,-0.039043705,-2.404685916622373e-06,-2.9790005309023153e-07
113,-0.094626422,-0.036735742,-3.2561224157431966e-06,-3.7524516666651016e-06
116,-0.087525414,-0.034484484,-4.584087054201315e-06,-7.093829720379065e-07
119,-0.081836851,-0.0323588,-2.915418443333441e-07,-1.561230628895093e-06
122,0.761358475,0.125011301,2.309458165848956e-06,-1.0808258219340745e-06
125,-0.130134934,-0.053238632,-2.634446653025398e-06,1.5790556109867285e-06
128,-0.115285525,-0.050120326,-4.678339121915122e-06,3.373710837032482e-06
131,-0.104414964,-0.046644295,-1.3125311780917799e-05,1.131051487253803e-05
134,-0.096108903,-0.043218849,-1.4117750992677918e-06,-1.1267201064608918e-05
137,0.594477088,0.100123923,-8.16329041218063e-06,8.800772947108932e-06
140,-0.125663331,-0.062058904,-1.3051581361029627e-05,3.3011730019420053e-06
143,-0.114691883,-0.058057819,-9.504643560783128e-06,4.2434298861039175e-06
146,-0.105709748,-0.05349862,6.849496097402259e-07,3.2888015180997686e-06
149,-0.098382002,-0.049054184,-2.570327169367396e-06,-1.0692500873785362e-06
152,0.506074164,0.079662984,-1.1110216400835934e-05,1.4347135557023257e-05
155,0.236115553,0.017320575,-6.463563982059075e-06,3.6659904114715794e-06
158,0.041633031,-0.040064715,-2.900888577128343e-06,4.449418865866018e-06
161,-0.050141928,-0.068539977,2.2453075750399409e-07,5.850156356276667e-07
164,-0.086215164,-0.075847522,1.0541349763806676e-06,4.885774037088674e-06
167,-0.098805904,-0.073633151,-5.268687788637146e-06,4.279225191779969e-06
173,-0.10077863,-0.06204019,-1.8028243308625015e-05,3.4035398168428703e-06
176,-0.098072108,-0.056212839,-1.0633579858459596e-05,9.894769928556032e-06
179,-0.094697576,-0.050986959,-7.809771580304774e-06,3.956148562534838e-06
182,0.409481437,0.046608667,-9.263863848001831e-06,8.598313126500006e-06
185,0.197764476,0.001264349,-4.0249684093741045e-06,6.1211167582545645e-06
188,0.038998357,-0.037682591,-1.78722510745416e-05,7.81060169811899e-06
191,-0.043803306,-0.058236978,3.5315691341551576e-06,1.64967344317499e-06
194,0.045541047,-0.040568685,-6.323855178243157e-06,-6.555676832920577e-07
197,-0.029473,-0.057245914,3.1198570821532405e-06,-6.228786743957843e-06
200,-0.071114905,-0.064109374,-3.4018012576556543e-06,3.966505007261505e-06
203,-0.089560807,-0.063966265,-8.594274353899284e-06,9.610172963249015e-06
206,-0.096623267,-0.060700031,5.908235721063108e-06,-1.604329133132881e-05
209,-0.098192782,-0.05634807,-1.3094739742128766e-05,2.25251790442363e-06
212,0.273306369,0.012904747,-4.710507730405712e-06,1.1819246490117539e-05
215,0.109736791,-0.021170676,-8.68373372132988e-06,1.4684017305172836e-06
218,-0.000449526,-0.045106411,-1.1219935430384376e-05,5.017596300551654e-06
221,-0.057725899,-0.056422961,-1.2090918239019123e-06,6.311560121393613e-06
224,-0.083876797,-0.05936414,-8.780707099756539e-06,1.7015917324077253e-05
227,-0.09458533,-0.058000927,-1.4521333556208176e-05,1.6147017141561113e-05
230,-0.097906284,-0.05478102,-7.330716962387701e-06,4.334097047215296e-07
233,-0.097675622,-0.050956882,-6.455060711628495e-06,9.474299348257041e-06
236,-0.09573245,-0.04711625,-4.841923812829621e-06,6.728746100155002e-06
239,0.355342622,0.028894631,-3.3469337407170673e-06,6.919424437712429e-06
242,0.165285496,-0.006351141,-9.540659320343949e-06,1.4611816426778567e-05
245,0.02666127,-0.035026081,2.3163502221552803e-07,1.7322546076211584e-08
248,-0.046539025,-0.050561093,-6.899435486382508e-06,-1.2356797152970264e-06
251,-0.079633986,-0.056218917,9.767925505431412e-07,-6.717206492944437e-06
254,-0.093191152,-0.056414631,1.4253646187143701e-06,-5.528821756013966e-06
