epoch,pwPE_xprob,pwPE_xvol,N400_average,P600_average
257,-0.097691823,-0.054050939,-1.0143148809538183e-05,2.7602300802732017e-06
260,-0.097960201,-0.050688536,6.688087000601903e-06,-6.892849363221593e-06
263,-0.096227904,-0.047093396,-5.465025585923604e-07,-1.8924433463480757e-06
266,-0.093564492,-0.043615595,2.091671454405196e-06,-7.321695070546235e-06
269,-0.090502616,-0.040398419,-4.358949130187847e-06,-9.270547559768082e-06
272,0.438057409,0.043698683,-8.492027930429617e-06,3.845511781279536e-06
275,0.222669455,0.007142216,-1.2274951200072612e-05,5.362023730542695e-06
278,0.053679528,-0.026584355,8.599421671601815e-07,-3.281671196498282e-07
281,-0.036276741,-0.046427126,-9.78176006622202e-06,1.0775806645101567e-05
284,-0.076077857,-0.054624225,-8.408573641123345e-06,2.4405599624168874e-06
287,-0.092068846,-0.056108624,-8.793827025202535e-06,1.033896341305181e-05
290,-0.097434496,-0.054341819,-1.6270751466979526e-05,2.1153067505013232e-05
293,-0.098003017,-0.051225993,-1.0952176133953229e-05,4.563069376827582e-06
296,-0.096365448,-0.047707315,-3.3293554732024138e-06,-3.550188153712774e-07
