Trial,Cue,Category,Prob_cat,CueOnset,CueOffset,Prediction,ReactionTime,PredOnset,PredOffset,WordOnset,WordOffset,condition,Correct
61,Cue 1,TOOL,Congruent,589.3408680998255,590.8896298999898,0.0,593.4765610999893,592.4020194998011,593.9056775998324,595.4076427998953,596.906429399969,congruent,1
62,Cue 2,ANIMAL,Congruent,598.4077021998819,599.9564949998166,1.0,601.7726642999332,601.4687919998541,602.9725355999544,604.4744774999563,605.9732632997911,congruent,1
63,Cue 2,ANIMAL,Congruent,607.4745432999916,609.0233020999003,1.0,610.9936956998426,610.5356712997891,612.0391266997904,613.5413357999641,615.0401129999664,congruent,1
64,Cue 1,TOOL,Congruent,616.5414427998476,618.0901565998793,0.0,619.8730653999373,619.6024807000067,621.1061615999788,622.6082605998963,624.1069514998235,congruent,1
65,Cue 1,TOOL,Congruent,625.608242899878,627.1569881998003,0.0,629.2272219997831,628.669425799977,630.1896580997854,631.6916752997786,633.1911008998286,congruent,1
66,Cue 2,ANIMAL,Congruent,634.6917108998168,636.2404961998109,1.0,638.8902123998851,637.7528549998533,639.2565236999653,640.758492999943,642.2572893998586,congruent,1
67,Cue 1,TOOL,Congruent,643.7585416999646,645.3073308998719,0.0,647.3107963998336,646.8197839998174,648.3233721998986,649.8253922997974,651.3236315997783,congruent,1
68,Cue 2,ANIMAL,Congruent,652.8255357998423,654.3741234999616,0.0,656.9279588998761,655.8865994999651,657.3901604998391,658.8904273998924,660.3909471000079,congruent,1
69,Cue 2,ANIMAL,Congruent,661.8922272999771,663.4409936999436,0.0,665.4948721998371,664.9534261999652,666.4570155998226,667.9590993998572,669.4577824999578,congruent,1
70,Cue 1,TOOL,Congruent,670.9590762997977,672.5079099999275,1.0,674.4577204999514,674.0201831997838,675.5238397999201,677.0258531998843,678.5246371999383,congruent,1
71,Cue 2,TOOL,Incongruent,680.0259243999608,681.5747292998713,0.0,683.5073294998147,683.0870513999835,684.5906294998713,686.0926921998616,687.5914574000053,incongruent,0
