timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
1,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792
2,-0.09432528487470371,-0.09432313331252029,-0.09432162232630037,-0.09432634710216892,-0.09432145025983485,-0.09432386363716927,-0.0943220167793144,-0.09432145025983485,-0.09432313331252029,-0.09432494247987033,-0.09432332443442373
3,-0.10522005826756886,-0.10520603547531393,-0.10519619796968649,-0.10522698771400374,-0.10519507824507834,-0.10521079342120543,-0.10519876529421757,-0.10519507824507834,-0.10520603547531393,-0.1052178255532491,-0.10520728556607158
4,-0.10585955410275638,-0.10581999027678868,-0.1057922939507836,-0.10587914154210831,-0.10578914458140487,-0.10583340318728951,-0.10579951725653425,-0.10578914458140487,-0.10581999027678868,-0.10585324808225882,-0.10582354278381181
5,-0.10329814054719466,-0.10322024741628688,-0.10316588272545235,-0.10333680684070878,-0.10315970936433683,-0.10324662376967442,-0.10318004830892136,-0.10315970936433683,-0.10322024741628688,-0.10328570674306448,-0.10322731224962634
6,-0.09976346009615822,-0.09963754539855274,-0.09954998652451419,-0.09982616853067894,-0.09954006039084728,-0.09968012175030305,-0.09957277608228587,-0.09954006039084728,-0.09963754539855274,-0.09974332403971886,-0.09964910486024592
7,-0.09601604045451828,-0.09583599088698269,-0.09571130542877937,-0.09610604227331587,-0.09569719689757494,-0.09589677317032164,-0.09574371773249502,-0.09569719689757494,-0.09583599088698269,-0.0959871875739281,-0.09585274422024735
8,-0.09232778125089691,-0.09209070360716176,-0.09192725703385207,-0.09244676729320866,-0.09190879962972498,-0.09217059693897334,-0.0919696886453295,-0.09190879962972498,-0.09209070360716176,-0.0922897044770965,-0.09211308021131305
9,-0.08879535031253616,-0.08850090621715367,-0.08829885372678559,-0.08894375433234758,-0.0882760841263649,-0.08859994839757623,-0.08835123489897001,-0.0882760841263649,-0.08850090621715367,-0.08874794878764014,-0.08852910711428928
10,-0.08544907873191787,-0.08509878828364226,-0.08485955529567013,-0.0856264014850967,-0.08483265265065043,-0.08521639203142517,-0.08492148791994447,-0.08483265265065043,-0.08509878828364226,-0.0853925505287455,-0.08513283478613852
11,-0.08229332384195853,-0.0818899577499217,-0.08161579447894862,-0.08249842019794995,-0.08158502883709906,-0.08202512074713597,-0.08168666969377669,-0.08158502883709906,-0.0818899577499217,-0.08222807150907074,-0.0819297373642882
12,-0.07932220236678933,-0.0788692990149974,-0.07856293295140504,-0.07955351276942779,-0.07852862536825445,-0.07902076966518323,-0.07864202236931073,-0.07852862536825445,-0.0788692990149974,-0.07924875724293368,-0.07891460461315535
13,-0.07652596592278604,-0.07602747041311675,-0.07569185185580929,-0.07678169224069642,-0.07565434547893235,-0.07619387079369666,-0.07577837392318132,-0.07565434547893235,-0.07602747041311675,-0.0764449310248736,-0.07607803175451415
