timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
32,-0.0852645186361386,-0.08503280076141306,-0.08450807077923639,-0.08523522581203113,-0.08471917027580689,-0.08589116614645564,-0.0852645186361386,-0.08223480081336376,-0.07883876021384462,-0.08519233305750062,-0.08421813651319293
33,-0.08050743153403639,-0.0802870934314176,-0.07978872186646735,-0.08047956819469637,-0.07998912165067784,-0.08110415599952037,-0.08050743153403639,-0.07763786660939553,-0.07444372881277661,-0.08043877338656102,-0.07951838930195855
34,-0.07645666974730836,-0.07624280310863196,-0.0757598874528349,-0.07642961202843357,-0.07595393979328824,-0.07703707009233351,-0.07645666974730836,-0.07368691883009171,-0.07063374354722629,-0.07639000344525237,-0.07550473177927093
35,-0.0729365470790917,-0.07272641322043416,-0.0722528381060622,-0.07290994735196565,-0.07244298978886399,-0.07350816989148634,-0.0729365470790917,-0.0702322342633156,-0.06728342954980049,-0.07287101672407614,-0.0720100133054188
36,-0.06982694978944903,-0.06961907584257121,-0.0691515184235133,-0.06980062160355938,-0.0693391046959595,-0.07039380837066744,-0.06982694978944903,-0.06716886763843122,-0.06430225154303482,-0.06976209605881356,-0.06891912437554484
37,-0.06704334352027796,-0.06683699798495435,-0.06637377126119082,-0.0670171948266286,-0.06655947613048951,-0.0676073809647324,-0.06704334352027796,-0.0644211969406473,-0.06162321796742709,-0.06697893936252008,-0.06615048624791461
38,-0.0645246271924319,-0.06431950951566101,-0.06385987836939011,-0.06449862080643964,-0.06404400668614796,-0.0650865836400365,-0.0645246271924319,-0.06193333784887889,-0.05919564848342962,-0.06446058055228188,-0.06364474202871294
39,-0.062225535822444056,-0.06202159032270771,-0.06156536198457141,-0.06219966571587521,-0.061748002291090676,-0.06278546920853689,-0.062225535822444056,-0.05966303128700956,-0.056980426393579364,-0.062161831315332594,-0.06135764501635915
40,-0.060111762336425234,-0.05990906603264634,-0.059456343461593564,-0.06008603934061185,-0.05963746602372266,-0.06066936287043567,-0.060111762336425234,-0.05757764493385653,-0.054946808362496324,-0.060048426078886386,-0.05925546817770998
41,-0.058156750126533985,-0.05795544524184193,-0.057506478841472086,-0.0581311933270765,-0.057685994578697275,-0.058711529833559095,-0.058156750126533985,-0.055651495588474154,-0.05307023346161466,-0.058093828568892336,-0.0573119699694696
42,-0.05633953803724434,-0.05613979182521478,-0.055694891206000574,-0.056314169651198065,-0.055872686759854906,-0.05689094371928505,-0.05633953803724434,-0.05386401696637377,-0.05133078792048262,-0.05627708536308296,-0.055506344948598144
43,1.0300219975470082,1.0238735701206423,1.0101790514440272,1.0292411601079876,1.0156515182472914,1.0469890289001413,1.0300219975470082,0.953939868131686,0.876956104147367,1.0280996873815083,1.0044973983574668
44,-0.12487892131664824,-0.12397549322056411,-0.12196949333155493,-0.12476409541498612,-0.12277005234536287,-0.12738030505900577,-0.12487892131664824,-0.11383291548595398,-0.10300168952578648,-0.12459628431250125,-0.12120481713290118
45,-0.10854638922444415,-0.10790412699810292,-0.10646874590541755,-0.10846490386557661,-0.10704309821171742,-0.11031067666429806,-0.10854638922444415,-0.10052195221715132,-0.09231441409681784,-0.10834574103253725,-0.10584664374405073
46,-0.09713010060263605,-0.09663088351442639,-0.0955105710934675,-0.09706683666968219,-0.09595960170596463,-0.09849445302370163,-0.09713010060263605,-0.09080735684918295,-0.08417138312959416,-0.09697428211251402,-0.09498755693038055
47,-0.08867086461170981,-0.08825518483223516,-0.0873203386732686,-0.08861821883149601,-0.08769535542221085,-0.08980384518374906,-0.08867086461170981,-0.08336924820576341,-0.07773150449317867,-0.08854118174968284,-0.08686766066150042
48,-0.08211345672713155,-0.08174902030839615,-0.08092894715137222,-0.08206730850338939,-0.08125799726531369,-0.08310601910603055,-0.08211345672713155,-0.07745676447645866,-0.07248559634125318,-0.08199977532915914,-0.0805278341935636
49,-0.07684490156854051,-0.07651324473339993,-0.07576734084708936,-0.07680289782426153,-0.07606656507521614,-0.07774878531977336,-0.07684490156854051,-0.07261439269276382,-0.06810877887071598,-0.07674143301939995,-0.07540532415197011
