timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
21,-0.02802176600526074,-0.02802176600526074,-0.04617369084110701,-0.021554943131505633,-0.04018142577915562,-0.02802176600526074,-0.02758189227247898,-0.02758189227247898,-0.02468875435985185,-0.015756663134556925,-0.02875845598069172
22,-0.026608462892829476,-0.026608462892829476,-0.04373266102653639,-0.020442604773675543,-0.038099951124733855,-0.026608462892829476,-0.026190485771155902,-0.026190485771155902,-0.023436380724673578,-0.014870627577150186,-0.02727885854475698
23,-0.025294153970036426,-0.025294153970036426,-0.0415096012299615,-0.01940506631641492,-0.03619006450757223,-0.025294153970036426,-0.024896093572838618,-0.024896093572838618,-0.022269209915748878,-0.014046631269685417,-0.025909522229516944
24,-0.02407770011513566,-0.02407770011513566,-0.039485168169662854,-0.01844269451624958,-0.034440744613633334,-0.02407770011513566,-0.023697756313320384,-0.023697756313320384,-0.021187176028870658,-0.013284562520566756,-0.024646895882103094
25,-0.022954413913758298,-0.022954413913758298,-0.0376392315656241,-0.017552711371483398,-0.032838524565826144,-0.022954413913758298,-0.02259097583132741,-0.02259097583132741,-0.020186806087988063,-0.012581895743060234,-0.023484436273791164
26,-0.021917937942271704,-0.021917937942271704,-0.03595257057459422,-0.016730750411244832,-0.03136949060548411,-0.021917937942271704,-0.021569575456045875,-0.021569575456045875,-0.01926294617751778,-0.011934895873391582,-0.02241436183811394
27,0.08133621397509305,0.08133621397509305,0.14256739901977933,0.06051288721991477,0.12173311159422684,0.08133621397509305,0.07990924060904825,0.07990924060904825,0.07056564018955691,0.042032572442740834,0.08412387336095943
28,-0.03243185560828021,-0.03243185560828021,-0.06104020492090456,-0.02342622157236851,-0.05097457143144701,-0.03243185560828021,-0.031802202085311704,-0.031802202085311704,-0.027724411823383144,-0.015773944252272742,-0.033983932499584
29,-0.03207341260636931,-0.03207341260636931,-0.057722074578922644,-0.023455963856784834,-0.04898187681370225,-0.03207341260636931,-0.031479860945645366,-0.031479860945645366,-0.027603564214142673,-0.01590905155087552,-0.03328524907248266
30,-0.031177981455498105,-0.031177981455498105,-0.05425725533950698,-0.023022986879540297,-0.04658313439316375,-0.031177981455498105,-0.03062310589015138,-0.03062310589015138,-0.026974798382517373,-0.01569994216292725,-0.03213182733044527
31,-0.030001407838294525,-0.030001407838294525,-0.050912933716695585,-0.022321017516599984,-0.04408648634194123,-0.030001407838294525,-0.029483963554055248,-0.029483963554055248,-0.026063288159541065,-0.01528012185604355,-0.03076359982138155
32,-0.028701338329913395,-0.028701338329913395,-0.04780036865248205,-0.02147701118793821,-0.041649458561792585,-0.028701338329913395,-0.028218467638593148,-0.028218467638593148,-0.025012567863045287,-0.014740605641845983,-0.02932209621740306
33,-0.02737246914199365,-0.02737246914199365,-0.04495503828085279,-0.020572175184021768,-0.03934734088116265,-0.02737246914199365,-0.02692081472934227,-0.02692081472934227,-0.02391193386623436,-0.014141886895970512,-0.027888741199290756
34,-0.026069561164976274,-0.026069561164976274,-0.042376283584843355,-0.01965685345875745,-0.03721073337688352,-0.026069561164976274,-0.02564579458487426,-0.02564579458487426,-0.022815118940286983,-0.013522939330990136,-0.026508220135643877
35,-0.02482250221970539,-0.02482250221970539,-0.04004723629792406,-0.018761082938451024,-0.03524643199259103,-0.02482250221970539,-0.02442355128603335,-0.02442355128603335,-0.021753034718718034,-0.012908038620643714,-0.025203043379951072
36,-0.02364597538740565,-0.02364597538740565,-0.03794483001928983,-0.017901825452974807,-0.033449049582448986,-0.02364597538740565,-0.023269101947608006,-0.023269101947608006,-0.02074223592664093,-0.012311680435530548,-0.023982575147431805
37,-0.02254555766432864,-0.02254555766432864,-0.03604473903783789,-0.01708778036532055,-0.03180744360099541,-0.02254555766432864,-0.02218836439141414,-0.02218836439141414,-0.019790414226640296,-0.01174198461840037,-0.022848576362500872
38,-0.02152151679869918,-0.02152151679869918,-0.03432370464162704,-0.016322523760363805,-0.030308225665590438,-0.02152151679869918,-0.021181922924492502,-0.021181922924492502,-0.018899906047804116,-0.01120298809369824,-0.021798574445416618
39,-0.020571150190309972,-0.020571150190309972,-0.03276051907542821,-0.015606528332265723,-0.0289376314631411,-0.020571150190309972,-0.020247355954191137,-0.020247355954191137,-0.01806990596071467,-0.010696162071883286,-0.02082789093827452
40,-0.019690210548311327,-0.019690210548311327,-0.031336330013890024,-0.01493844984053505,-0.02768247193271467,-0.019690210548311327,-0.019380659794696165,-0.019380659794696165,-0.01729784948409141,-0.010221403910183335,-0.01993084564157408
41,-0.018873763405650945,-0.018873763405650945,-0.03003461315973399,-0.014315938819870588,-0.026530573480321173,-0.018873763405650945,-0.018577108526382835,-0.018577108526382835,-0.01658026795478873,-0.009777679517301463,-0.019101458020173444
42,-0.018116692882662155,-0.018116692882662155,-0.02884099486230729,-0.013736147225329787,-0.025470938309659408,-0.018116692882662155,-0.01783176369747974,-0.01783176369747974,-0.01591330978232519,-0.009363435752906102,-0.018333843197547373
43,0.13229102993963382,0.13229102993963382,0.22510219390948527,0.09744661607040017,0.19479071258074843,0.13229102993963382,0.1299707209026586,0.1299707209026586,0.11454356639832963,0.06440619812685444,0.13531038187100367
44,-0.03384596530956763,-0.03384596530956763,-0.06268174648973468,-0.02400959621805354,-0.05287480708825465,-0.03384596530956763,-0.03317296130442837,-0.03317296130442837,-0.028762867967627725,-0.015240241597661797,-0.0351453077898892
45,-0.03301892945193541,-0.03301892945193541,-0.05804707726642777,-0.02383683104596157,-0.049831250318362885,-0.03301892945193541,-0.03240185331049572,-0.03240185331049572,-0.02831812242038345,-0.015342677489644019,-0.033923645351757736
46,-0.0318486746551252,-0.0318486746551252,-0.05383059518367306,-0.02331761964404455,-0.046808399169199544,-0.0318486746551252,-0.031283653114196786,-0.031283653114196786,-0.027514568571123887,-0.015180394882673198,-0.03247649076444834
47,-0.03050487462858731,-0.03050487462858731,-0.05005292540564632,-0.02258523690570924,-0.043934675577300686,-0.03050487462858731,-0.029986450521958696,-0.029986450521958696,-0.02650630161033518,-0.014839189892475901,-0.030940585432114663
48,-0.02909662349363984,-0.02909662349363984,-0.04668950608282596,-0.02173426550144064,-0.04126510371312464,-0.02909662349363984,-0.02861912799393529,-0.02861912799393529,-0.02539782382704825,-0.014384754598170013,-0.02939995801913996
49,-0.027692046051143615,-0.027692046051143615,-0.043699976495377046,-0.02082983596867727,-0.03881642797928786,-0.027692046051143615,-0.027250209483655863,-0.027250209483655863,-0.02425802266459287,-0.013865586263443141,-0.027904640649212074
50,0.12678422105200737,0.12678422105200737,0.22695096040173923,0.09091944357389692,0.19351281681380206,0.12678422105200737,0.12436622420697874,0.12436622420697874,0.10839773049815093,0.05778752095343931,0.1306653583811008
51,0.06549173215564585,0.06549173215564585,0.15433299844880755,0.0428441958268071,0.11972626650307117,0.06549173215564585,0.06383854334210559,0.06383854334210559,0.05339349411591665,0.025089165075146136,0.07195384031208973
52,-0.011109429314523078,-0.011109429314523078,-0.01149852298083165,-0.008400021798561141,-0.013016626638930773,-0.011109429314523078,-0.010953563608633643,-0.010953563608633643,-0.009818286687624744,-0.005384878674154603,-0.010335375194093943
53,-0.05406538171718589,-0.05406538171718589,-0.12458969517845031,-0.0359060755183398,-0.09660999193584252,-0.05406538171718589,-0.05275719877218088,-0.05275719877218088,-0.044435091445816366,-0.021195123177822017,-0.05904465199521904
54,-0.06973017673878545,-0.06973017673878545,-0.15064807640745403,-0.04714734148375155,-0.11979149104295994,-0.06973017673878545,-0.06812890382609882,-0.06812890382609882,-0.05785095304174348,-0.028241571399314824,-0.07491277712437779
55,-0.07195313268455117,-0.07195313268455117,-0.13961153123879377,-0.05017053844288122,-0.11561182905652312,-0.07195313268455117,-0.07045363605109367,-0.07045363605109367,-0.060667472901622554,-0.030822473181499777,-0.07536505149771613
56,-0.0686305053804499,-0.0686305053804499,-0.12174760875296531,-0.049282238036854276,-0.10404418653959346,-0.0686305053804499,-0.06733612308534687,-0.06733612308534687,-0.058754034596054217,-0.031060537185787718,-0.07054523674232985
57,0.014571797138153153,0.014571797138153153,0.018744339754442008,0.011127184977361315,0.018382319870505093,0.014571797138153153,0.01436675331771431,0.01436675331771431,0.012910525170187315,0.007281878933282027,0.014089514675566583
58,-0.07060017716463873,-0.07060017716463873,-0.12519580604533498,-0.05032750954924037,-0.10733036646345762,-0.07060017716463873,-0.06924426173681819,-0.06924426173681819,-0.06024925293768335,-0.0313367204459456,-0.07247287104092145
59,-0.06830382011244529,-0.06830382011244529,-0.1129059434960572,-0.050088849303659644,-0.0989214559246896,-0.06830382011244529,-0.0671173509494446,-0.0671173509494446,-0.059133404784223687,-0.03202361799456266,-0.06922194337394179
60,0.0038087082760982494,0.0038087082760982494,0.003270869766430984,0.0031000856371186103,0.003914994507652425,0.0038087082760982494,0.0037739237426086536,0.0037739237426086536,0.0034957787282583475,0.0021163846763030403,0.003487208562927546
61,-0.034846926686384005,-0.034846926686384005,-0.06291782630953502,-0.024691632572611755,-0.05348196519263382,-0.034846926686384005,-0.03416671147071826,-0.03416671147071826,-0.02965860526782549,-0.015199891108371832,-0.03588241234515664
62,-0.057924817024824216,-0.057924817024824216,-0.09905074738465214,-0.041856940635738304,-0.08577913820388794,-0.057924817024824216,-0.05686824895130205,-0.05686824895130205,-0.049795001218012946,-0.02624269116452549,-0.059023546758389354
63,-0.06678030456563977,-0.06678030456563977,-0.10808111090960903,-0.04937325390697567,-0.0952386083014648,-0.06678030456563977,-0.06565920735402742,-0.06565920735402742,-0.058070313268952845,-0.03166145861900449,-0.0674084073410981
