timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
1,-0.009883270992087745,-0.01016089558973099,-0.010534756060488704,-0.01070328442352464,-0.009364919200423039,-0.010268350104321589,-0.010577315005144583,-0.010268350104321589,-0.012455015038595918,-0.010534756060488704,-0.010475091257912749
2,-0.014852183669284091,-0.01562749980862488,-0.01666968232605559,-0.01713876858421237,-0.013401382948471596,-0.01592726445372261,-0.016788183454400585,-0.01592726445372261,-0.021988709176505083,-0.01666968232605559,-0.0164990621201055
3,-0.017628586337041674,-0.018910454923128706,-0.020627534414359272,-0.021398150536579785,-0.015219594649541368,-0.01940504636368723,-0.020822339449035332,-0.01940504636368723,-0.029284993809760684,-0.020627534414359272,-0.020332928126118054
4,-0.01907116014311805,-0.02079139987666545,-0.023084462488841884,-0.02410942275777528,-0.01581881516327488,-0.021453212820901513,-0.023343805877029555,-0.021453212820901513,-0.03445363112554645,-0.023084462488841884,-0.022666358556289644
5,-0.01966257311463493,-0.02173106077384135,-0.024472320846382734,-0.025691742112506022,-0.015723385417368063,-0.022524102594175588,-0.02478121007708034,-0.022524102594175588,-0.03779919184419289,-0.024472320846382734,-0.023938201022074022
6,-0.019715231699925506,-0.02204490452739527,-0.025112695485552505,-0.02647025279928661,-0.015243004966573048,-0.022934698788062757,-0.025456988327216323,-0.022934698788062757,-0.03971700285939406,-0.025112695485552505,-0.024474217372702133
7,-0.019436501917913573,-0.021952937095875202,-0.025244825264084114,-0.02669371330069026,-0.014564989772859582,-0.02291027195206763,-0.02561273321188684,-0.02291027195206763,-0.04058652150747921,-0.025244825264084114,-0.024515759123900815
8,-0.018962471915028978,-0.021605848644669856,-0.025040908632989245,-0.026544700239362062,-0.01380128531375202,-0.02260747831933385,-0.025423224387201016,-0.02260747831933385,-0.04072105110762758,-0.025040908632989245,-0.02423553555122877
9,-0.01838097801129779,-0.021104825254387838,-0.024621423284711397,-0.026152851250658027,-0.013017168976742322,-0.02213289832033538,-0.025011226504751294,-0.02213289832033538,-0.0403587542602617,-0.024621423284711397,-0.02375344474681925
10,-0.017747836409797046,-0.02051677355952164,-0.024069037601592735,-0.0256082110802881,-0.012249373589214185,-0.021557877229293032,-0.02446125600757809,-0.021557877229293032,-0.03967223040455492,-0.024069037601592735,-0.023150951071272553
